Num   theta     phi         ul          ul_err   
514   1.911    3.632   2.994316e-15  7.353036e-17
515   1.911    3.829   2.597175e-15  1.689772e-16
516   1.911    4.025   2.434390e-15  2.112909e-16
517   1.911    4.222   2.663915e-15  1.080491e-16
518   1.911    4.418   2.080571e-15  1.082927e-16
519   1.911    4.614   2.222331e-15  3.230991e-16
520   1.911    4.811   2.369829e-15  1.529904e-16
521   1.911    5.007   2.229424e-15  1.045484e-16
522   1.911    5.203   2.223299e-15  1.247435e-16
523   1.911    5.400   2.052060e-15  1.045586e-16
524   1.911    5.596   1.980222e-15  1.098563e-16
525   1.911    5.792   2.517655e-15  1.045006e-16
526   1.911    5.989   2.604896e-15  2.508334e-16
527   1.911    6.185   2.949111e-15  1.490416e-16
528   2.001    0.000   3.140655e-15  1.732390e-16
529   2.001    0.196   3.691230e-15  1.022798e-16
